"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1008.9","1011.3","2024/04/01 09:02:00","1006.0","2024/04/01 17:02:00","24.9","30.1","2024/04/01 13:41:00","21.3","2024/04/01 04:01:00","64","45","2024/04/01 13:22:00","1.7","95","9.3","113","2024/04/01 07:45:00","1.0"
"02","1006.3","1008.9","2024/04/02 07:41:00","1003.9","2024/04/02 14:21:00","27.4","33.3","2024/04/02 13:39:00","22.7","2024/04/02 02:51:00","73","52","2024/04/02 13:31:00","1.2","119","7.1","294","2024/04/02 12:13:00","0.0"
"03","1006.4","1009.1","2024/04/03 07:45:00","1003.5","2024/04/03 14:45:00","28.9","33.4","2024/04/03 12:23:00","25.7","2024/04/03 04:25:00","68","51","2024/04/03 12:12:00","1.8","266","10.4","303","2024/04/03 14:07:00","0.0"
"04","1008.8","1013.8","2024/04/04 23:54:00","1006.9","2024/04/04 02:42:00","26.2","30.2","2024/04/04 10:36:00","20.3","2024/04/04 23:51:00","78","58","2024/04/04 10:31:00","1.2","122","8.2","353","2024/04/04 22:53:00","0.0"
"05","1010.8","1013.5","2024/04/05 00:01:00","1008.5","2024/04/05 03:56:00","21.3","23.3","2024/04/05 12:41:00","19.5","2024/04/05 20:24:00","82","76","2024/04/05 12:42:00","2.2","118","10.4","117","2024/04/05 12:46:00","0.0"
"06","1011.1","1012.9","2024/04/06 01:01:00","1009.0","2024/04/06 15:43:00","22.4","27.2","2024/04/06 10:13:00","19.8","2024/04/06 04:12:00","86","68","2024/04/06 10:20:00","1.8","77","7.7","123","2024/04/06 13:19:00","1.0"
"07","1008.6","1010.8","2024/04/07 08:33:00","1006.7","2024/04/07 15:42:00","23.2","26.1","2024/04/07 11:41:00","20.3","2024/04/07 06:52:00","86","74","2024/04/07 11:51:00","1.8","129","7.7","122","2024/04/07 10:25:00","3.0"
"08","1008.8","1012.4","2024/04/08 22:31:00","1006.7","2024/04/08 14:42:00","22.9","24.7","2024/04/08 10:31:00","19.4","2024/04/08 23:54:00","92","88","2024/04/08 14:01:00","0.9","305","8.2","345","2024/04/08 19:37:00","17.5"
"09","1014.0","1015.8","2024/04/09 10:35:00","1011.3","2024/04/09 01:51:00","19.1","20.0","2024/04/09 22:22:00","17.9","2024/04/09 02:51:00","81","66","2024/04/09 19:01:00","1.5","76","9.3","98","2024/04/09 18:31:00","1.5"
